p1,p2,n_trials,consistency
10.0,10.0,5,0.8
10.0,20.0,5,1.0
10.0,30.0,5,0.6
10.0,40.0,5,1.0
10.0,50.0,5,1.0
10.0,60.0,5,1.0
10.0,70.0,5,1.0
10.0,80.0,5,1.0
10.0,90.0,5,1.0
20.0,10.0,5,1.0
20.0,20.0,5,0.8
20.0,30.0,5,1.0
20.0,40.0,5,1.0
20.0,50.0,5,0.8
20.0,60.0,5,1.0
20.0,70.0,5,1.0
20.0,80.0,5,1.0
20.0,90.0,5,1.0
30.0,10.0,5,0.8
30.0,20.0,5,1.0
30.0,30.0,5,0.8
30.0,40.0,5,0.8
30.0,50.0,5,1.0
30.0,60.0,5,1.0
30.0,70.0,5,1.0
30.0,80.0,5,1.0
30.0,90.0,5,1.0
40.0,10.0,5,1.0
40.0,20.0,5,1.0
40.0,30.0,5,1.0
40.0,40.0,5,1.0
40.0,50.0,5,1.0
40.0,60.0,5,1.0
40.0,70.0,5,0.6
40.0,80.0,5,1.0
40.0,90.0,5,1.0
60.0,10.0,5,1.0
60.0,20.0,5,1.0
60.0,30.0,5,1.0
60.0,40.0,5,1.0
60.0,50.0,5,0.6
60.0,60.0,5,1.0
60.0,70.0,5,1.0
60.0,80.0,5,1.0
60.0,90.0,5,1.0
70.0,10.0,5,1.0
70.0,20.0,5,1.0
70.0,30.0,5,1.0
70.0,40.0,5,1.0
70.0,50.0,5,1.0
70.0,60.0,5,1.0
70.0,70.0,5,0.8
70.0,80.0,5,1.0
70.0,90.0,5,1.0
80.0,10.0,5,1.0
80.0,20.0,5,1.0
80.0,30.0,5,1.0
80.0,40.0,5,1.0
80.0,50.0,5,1.0
80.0,60.0,5,1.0
80.0,70.0,5,1.0
80.0,80.0,5,0.8
80.0,90.0,5,0.8
90.0,10.0,5,1.0
90.0,20.0,5,1.0
90.0,30.0,5,1.0
90.0,40.0,5,1.0
90.0,50.0,5,1.0
90.0,60.0,5,1.0
90.0,70.0,5,1.0
90.0,80.0,5,1.0
90.0,90.0,5,0.6
