role,value_cond,opt_type,n_subjects,n_trials_total,mean_ms,sd_ms,median_ms,mu_log,sigma_log,se_ms,se_log,geom_mean_ms,geom_sd_multiplier
First,E>S,E,17,1586,277.9225884812276,108.37159633250053,206.0,5.400400613071465,0.34313515237288156,26.283972852688187,0.08322249865269418,221.49513227784757,1.4093592272990494
First,E>S,S,16,851,292.01313176738137,117.4910728304688,196.75,5.414660585234562,0.344209677376407,29.3727682076172,0.08605241934410175,224.67627429059243,1.410874432945119
First,S>E,E,17,1648,273.937736015004,102.56157266194049,201.0,5.40258473050508,0.32284150845608517,24.874835130273016,0.07830056704106919,221.97943234930682,1.3810464493750878
First,S>E,S,16,820,284.9898002424074,99.23528990820576,189.25,5.401851828858286,0.2815087387045422,24.80882247705144,0.07037718467613555,221.81680286077327,1.325127576169294
Middle,E>S,E,17,587,253.41945668193512,76.47210987519858,212.5,5.4081457123462116,0.27717288696892817,18.54721096642842,0.06722429938413386,223.21729461647791,1.3193944574263734
Middle,E>S,S,17,768,219.7024617816024,57.865799954235264,216.0,5.254559807663065,0.44377864031953446,14.034517960127857,0.10763212990767229,191.4371981167147,1.5585854394588132
Middle,S>E,E,17,606,239.93977533629135,67.75292131910308,223.0,5.352546946478817,0.3186117399582025,16.432497120166154,0.07727469749467623,211.14538961095917,1.3752172793201178
Middle,S>E,S,17,880,242.6874298646801,50.99823248042529,221.0,5.384235694793147,0.22637975642377095,12.368888190388164,0.0549051557198121,217.94346510887226,1.2540518090933732
Final,E>S,E,17,1220,506.4591896505684,135.13594889450056,450.0,6.081081038347786,0.2772283222953293,32.77528183000564,0.06723774442567165,437.5018954947821,1.3194676005161095
Final,E>S,S,17,1217,515.9552333218819,119.08198693141698,459.5,6.087043376822045,0.25265542256884505,28.881624130979652,0.06127794083155366,440.1182218397171,1.287439577772203
Final,S>E,E,17,1272,527.522534909876,132.99339565826813,468.0,6.119941248530664,0.2518901691995539,32.25563634168239,0.06109233962732148,454.83797131539507,1.286454737171909
Final,S>E,S,17,1196,523.0210685713946,108.67243667024933,446.0,6.115110197615053,0.2202606717044252,26.35693735204023,0.053421059682755304,452.64592512435127,1.2464015898715597
